NAME,SURNAME,AGE,COURSE,FINAL_GRADE,APPROVED
Olivia,Johnson,22,Engineering,76,TRUE
Alice,Jones,30,Computer Science,51,FALSE
Alice,Jones,27,History,73,TRUE
John,Miller,26,History,69,TRUE
Sophia,Smith,20,Computer Science,70,TRUE
Alice,Jones,27,Biology,76,TRUE
Emma,Wilson,27,Computer Science,58,FALSE
Emma,Brown,22,Literature,79,TRUE
Emma,Smith,22,History,56,FALSE
Olivia,Brown,23,Chemistry,65,TRUE
John,Wilson,27,Literature,99,TRUE
Bob,Wilson,25,Biology,85,TRUE
David,Brown,29,Physics,91,TRUE
Alice,Johnson,29,Chemistry,79,TRUE
John,Johnson,29,Engineering,66,TRUE
Olivia,Davis,27,Mathematics,65,TRUE
Jane,Johnson,20,Computer Science,58,FALSE
Sophia,Garcia,28,Mathematics,98,TRUE
Jane,Wilson,21,History,99,TRUE
Bob,Brown,19,Biology,62,TRUE
Michael,Johnson,28,Physics,63,TRUE
John,Wilson,29,Mathematics,67,TRUE
Emma,Davis,20,Physics,94,TRUE
David,Miller,19,History,83,TRUE
Olivia,Davis,21,Biology,96,TRUE
Jane,Wilson,18,Mathematics,58,FALSE
Bob,Smith,18,Engineering,89,TRUE
Olivia,Johnson,20,Physics,93,TRUE
Alice,Miller,18,Biology,98,TRUE
Jane,Jones,24,Chemistry,58,FALSE
Bob,Williams,22,Physics,89,TRUE
Alice,Wilson,23,Engineering,67,TRUE
Alice,Johnson,29,Engineering,61,TRUE
Sophia,Johnson,19,Physics,97,TRUE
Bob,Miller,21,Engineering,77,TRUE
Jane,Davis,26,Chemistry,89,TRUE
Olivia,Brown,28,Mathematics,81,TRUE
Charlie,Smith,23,Engineering,60,TRUE
Sophia,Garcia,26,Chemistry,68,TRUE
Charlie,Rodriguez,26,Biology,77,TRUE
Alice,Williams,30,Literature,97,TRUE
Sophia,Jones,19,Mathematics,86,TRUE
Bob,Smith,30,Biology,83,TRUE
Bob,Garcia,19,History,73,TRUE
Jane,Johnson,28,Mathematics,65,TRUE
Sophia,Wilson,24,Chemistry,68,TRUE
Emma,Garcia,20,Physics,100,TRUE
Michael,Smith,26,Literature,90,TRUE
Michael,Davis,27,Literature,81,TRUE
Michael,Rodriguez,29,Literature,63,TRUE
Emma,Rodriguez,26,Biology,87,TRUE
Alice,Rodriguez,26,Mathematics,69,TRUE
Charlie,Brown,24,Physics,65,TRUE
Bob,Garcia,29,Physics,67,TRUE
Olivia,Jones,25,Engineering,88,TRUE
John,Smith,27,History,65,TRUE
Michael,Williams,29,Computer Science,91,TRUE
David,Wilson,28,Literature,83,TRUE
Alice,Rodriguez,29,Chemistry,60,TRUE
Emma,Brown,27,Chemistry,50,FALSE
Jane,Williams,21,Biology,94,TRUE
Jane,Garcia,25,Mathematics,52,FALSE
John,Wilson,29,Chemistry,75,TRUE
Alice,Jones,24,Biology,98,TRUE
Olivia,Jones,24,Engineering,53,FALSE
Michael,Davis,29,Mathematics,91,TRUE
Jane,Smith,22,Physics,98,TRUE
Alice,Smith,24,Mathematics,92,TRUE
Michael,Smith,19,Mathematics,79,TRUE
Jane,Wilson,25,Physics,80,TRUE
Alice,Wilson,23,Physics,90,TRUE
Charlie,Rodriguez,22,Computer Science,86,TRUE
David,Johnson,26,Chemistry,61,TRUE
David,Jones,22,Physics,79,TRUE
Alice,Miller,20,Engineering,80,TRUE
Jane,Jones,20,Computer Science,94,TRUE
Charlie,Williams,24,History,51,FALSE
Michael,Williams,27,Computer Science,99,TRUE
David,Garcia,19,Biology,52,FALSE
Alice,Rodriguez,28,Mathematics,77,TRUE
Olivia,Garcia,18,Physics,50,FALSE
Emma,Williams,28,History,79,TRUE
Alice,Miller,21,History,92,TRUE
Emma,Smith,18,Biology,59,FALSE
Jane,Davis,29,Mathematics,94,TRUE
Charlie,Jones,21,Literature,50,FALSE
Bob,Williams,29,Physics,51,FALSE
Sophia,Brown,27,Physics,95,TRUE
Sophia,Jones,22,Mathematics,97,TRUE
John,Johnson,30,Mathematics,64,TRUE
John,Davis,21,Chemistry,78,TRUE
Jane,Garcia,21,Mathematics,72,TRUE
John,Jones,23,Literature,82,TRUE
Emma,Jones,29,Biology,97,TRUE
John,Davis,18,Computer Science,90,TRUE
David,Davis,27,Biology,74,TRUE
Alice,Williams,21,Literature,94,TRUE
David,Johnson,30,Physics,78,TRUE
Jane,Johnson,28,Biology,66,TRUE
John,Miller,19,Computer Science,92,TRUE
Michael,Miller,19,Engineering,79,TRUE
Olivia,Williams,27,Biology,81,TRUE
John,Brown,24,Literature,75,TRUE
David,Davis,25,Physics,98,TRUE
Emma,Wilson,28,Physics,57,FALSE
Jane,Garcia,18,History,62,TRUE
Emma,Smith,22,Computer Science,82,TRUE
Michael,Brown,25,Physics,66,TRUE
Emma,Jones,19,Literature,86,TRUE
Jane,Brown,21,Computer Science,91,TRUE
Emma,Davis,27,Biology,93,TRUE
Emma,Brown,22,Chemistry,99,TRUE
Olivia,Garcia,24,Biology,63,TRUE
Charlie,Davis,19,Literature,82,TRUE
Alice,Johnson,23,History,58,FALSE
Emma,Garcia,30,Chemistry,73,TRUE
David,Garcia,29,Chemistry,50,FALSE
Jane,Garcia,29,Engineering,86,TRUE
Charlie,Wilson,23,Chemistry,52,FALSE
Jane,Wilson,30,Engineering,97,TRUE
Bob,Jones,21,Biology,95,TRUE
Bob,Wilson,29,Mathematics,50,FALSE
Jane,Brown,18,History,73,TRUE
Sophia,Smith,26,Mathematics,83,TRUE
David,Smith,18,Mathematics,74,TRUE
Charlie,Wilson,19,History,92,TRUE
Charlie,Miller,22,Computer Science,83,TRUE
Emma,Jones,18,Literature,99,TRUE
David,Brown,21,Chemistry,78,TRUE
Charlie,Wilson,28,Physics,57,FALSE
Jane,Wilson,20,Biology,83,TRUE
Jane,Garcia,29,Computer Science,77,TRUE
Emma,Garcia,30,Literature,70,TRUE
Michael,Davis,18,Physics,94,TRUE
Sophia,Davis,20,Biology,100,TRUE
Charlie,Johnson,19,Biology,50,FALSE
Charlie,Davis,24,Computer Science,100,TRUE
Michael,Jones,23,Computer Science,80,TRUE
Alice,Garcia,23,Literature,76,TRUE
Jane,Garcia,28,Literature,100,TRUE
John,Davis,26,History,55,FALSE
Charlie,Garcia,29,Biology,84,TRUE
Charlie,Garcia,25,Computer Science,84,TRUE
Alice,Rodriguez,25,Chemistry,57,FALSE
Michael,Garcia,18,Chemistry,86,TRUE
Charlie,Wilson,19,Chemistry,59,FALSE
John,Johnson,22,Engineering,78,TRUE
Sophia,Williams,18,Engineering,78,TRUE
Sophia,Smith,27,Mathematics,84,TRUE
Charlie,Brown,23,History,88,TRUE
Alice,Williams,19,Chemistry,73,TRUE
Emma,Davis,23,Chemistry,59,FALSE
Bob,Johnson,29,Biology,50,FALSE
David,Garcia,25,Physics,65,TRUE
John,Rodriguez,23,Engineering,63,TRUE
Jane,Smith,29,Engineering,72,TRUE
Emma,Miller,19,Mathematics,89,TRUE
Olivia,Jones,26,History,95,TRUE
Charlie,Rodriguez,28,Literature,50,FALSE
John,Garcia,30,Physics,99,TRUE
David,Rodriguez,23,History,61,TRUE
Jane,Miller,20,Computer Science,61,TRUE
Sophia,Garcia,26,Biology,98,TRUE
David,Garcia,18,Computer Science,73,TRUE
Bob,Davis,28,History,96,TRUE
Alice,Brown,30,Computer Science,51,FALSE
John,Johnson,22,Biology,89,TRUE
John,Garcia,19,Physics,74,TRUE
John,Davis,24,History,79,TRUE
Jane,Miller,23,Mathematics,82,TRUE
Jane,Garcia,25,Biology,50,FALSE
Bob,Johnson,24,Physics,60,TRUE
Bob,Garcia,26,Literature,79,TRUE
John,Williams,28,Engineering,61,TRUE
Michael,Smith,19,History,64,TRUE
Sophia,Smith,24,Computer Science,93,TRUE
Bob,Davis,21,Chemistry,81,TRUE
Charlie,Johnson,23,Chemistry,76,TRUE
John,Williams,18,Biology,91,TRUE
Alice,Johnson,26,Engineering,53,FALSE
Sophia,Garcia,29,Literature,91,TRUE
Bob,Johnson,26,Computer Science,72,TRUE
John,Williams,30,Literature,79,TRUE
Emma,Miller,23,Computer Science,92,TRUE
David,Garcia,26,Mathematics,52,FALSE
David,Smith,21,Engineering,77,TRUE
Charlie,Garcia,23,Chemistry,76,TRUE
John,Johnson,22,Chemistry,60,TRUE
Emma,Williams,22,Physics,65,TRUE
Emma,Miller,22,Engineering,79,TRUE
Sophia,Smith,25,Physics,84,TRUE
John,Davis,22,Biology,99,TRUE
David,Wilson,26,Biology,90,TRUE
David,Johnson,27,Chemistry,99,TRUE
Michael,Garcia,24,Computer Science,91,TRUE
Emma,Wilson,28,Physics,98,TRUE
Bob,Jones,19,Biology,78,TRUE
Olivia,Wilson,23,History,79,TRUE
Olivia,Brown,23,History,95,TRUE
John,Williams,21,Computer Science,100,TRUE
Sophia,Jones,24,Literature,54,FALSE
John,Smith,25,Mathematics,64,TRUE
Alice,Smith,19,Engineering,66,TRUE
Jane,Brown,20,History,58,FALSE
Jane,Jones,20,Chemistry,79,TRUE
Michael,Brown,25,Mathematics,100,TRUE
David,Smith,19,Biology,94,TRUE
David,Garcia,30,Biology,98,TRUE
Emma,Miller,23,Engineering,79,TRUE
Michael,Garcia,29,Engineering,52,FALSE
Bob,Brown,22,Physics,57,FALSE
Michael,Williams,24,Literature,81,TRUE
Emma,Davis,30,Literature,54,FALSE
Bob,Smith,28,History,71,TRUE
Jane,Davis,19,Computer Science,84,TRUE
Alice,Smith,22,History,92,TRUE
Emma,Rodriguez,27,Chemistry,96,TRUE
Michael,Johnson,27,Engineering,59,FALSE
Bob,Davis,28,Mathematics,88,TRUE
Alice,Garcia,27,Engineering,51,FALSE
David,Johnson,19,Computer Science,79,TRUE
Sophia,Smith,21,Biology,97,TRUE
Olivia,Brown,27,History,76,TRUE
Jane,Williams,26,Biology,91,TRUE
Charlie,Smith,22,Computer Science,92,TRUE
Emma,Williams,24,Literature,73,TRUE
Olivia,Garcia,22,Biology,75,TRUE
Jane,Brown,21,Computer Science,65,TRUE
Bob,Brown,23,Biology,79,TRUE
Emma,Wilson,22,Chemistry,94,TRUE
Michael,Miller,28,Literature,64,TRUE
